"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.020537481E-2,-9.648643494E0,1.956795502E1,-3.814315796E1,4.394202640E1
3.017537482E-2,-9.864028931E0,1.963636017E1,-3.792800903E1,4.383400024E1
4.014537483E-2,-1.003751373E1,1.968284416E1,-3.776564789E1,4.375397350E1
5.011537485E-2,-1.055764008E1,1.963372803E1,-3.747546387E1,4.360455747E1
6.008537486E-2,-1.075837708E1,1.976530457E1,-3.731218338E1,4.357303031E1
7.005537488E-2,-1.092079163E1,1.980593872E1,-3.735565948E1,4.366903015E1
8.002637466E-2,-1.098408508E1,1.971726227E1,-3.725456238E1,4.355827102E1
8.999637468E-2,-1.080446625E1,1.957230949E1,-3.722097397E1,4.341903607E1
9.996637469E-2,-1.074226379E1,1.961708260E1,-3.742534637E1,4.359911366E1
1.099363747E-1,-1.046662140E1,1.946594429E1,-3.717045212E1,4.324483393E1
1.199063747E-1,-1.000140381E1,1.958807755E1,-3.761866760E1,4.357619777E1
1.298763747E-1,-9.719657898E0,1.946043968E1,-3.757804871E1,4.341992868E1
1.398463747E-1,-9.078498840E0,1.950585175E1,-3.762456131E1,4.334172363E1
1.498173750E-1,-8.708328247E0,1.953739929E1,-3.788690186E1,4.350818640E1
1.597873750E-1,-8.179702759E0,1.959858894E1,-3.809698105E1,4.361642111E1
1.697573750E-1,-7.456314087E0,1.981256866E1,-3.809697342E1,4.358341291E1
1.797273750E-1,-7.178268433E0,2.001050949E1,-3.779856110E1,4.336679892E1
1.896973751E-1,-6.677864075E0,2.047236252E1,-3.801745605E1,4.369254468E1
1.996673751E-1,-6.217086792E0,2.070538330E1,-3.778722382E1,4.353434678E1
2.096373751E-1,-5.813262939E0,2.087349510E1,-3.754999161E1,4.335318551E1
2.196083749E-1,-5.813262939E0,2.087349510E1,-3.754999161E1,4.335318551E1
2.295783749E-1,-5.042457581E0,2.075854111E1,-3.750278854E1,4.316019643E1
2.395483749E-1,-4.352760315E0,2.072949028E1,-3.784827423E1,4.337222789E1
2.495183749E-1,-3.111175537E0,2.030556488E1,-3.802231216E1,4.321679767E1
2.594883749E-1,-1.773887634E0,1.985236549E1,-3.836994171E1,4.323789449E1
2.694583749E-1,-6.157226562E-1,1.945003319E1,-3.875337219E1,4.336481018E1
2.794293747E-1,4.549255371E-1,1.895716667E1,-3.885935593E1,4.323922604E1
2.893993747E-1,9.895706177E-1,1.892222023E1,-3.892992020E1,4.329628569E1
2.993693748E-1,1.368133545E0,1.903351974E1,-3.889412308E1,4.332319786E1
3.093393748E-1,1.209419250E0,1.913681412E1,-3.898564911E1,4.344607216E1
3.193093748E-1,7.966842651E-1,1.941753387E1,-3.872222900E1,4.332535455E1
3.292793748E-1,-4.447937012E-3,1.952929115E1,-3.846277618E1,4.313674054E1
3.392493748E-1,-1.068908691E0,1.991425323E1,-3.832178116E1,4.320045091E1
3.492203751E-1,-2.337776184E0,2.015196991E1,-3.817838669E1,4.323374028E1
3.591903751E-1,-3.594596863E0,2.048264694E1,-3.812844849E1,4.343084775E1
3.691603751E-1,-5.158210754E0,2.065028000E1,-3.789549255E1,4.346388798E1
3.791303746E-1,-6.349639893E0,2.077267838E1,-3.765025330E1,4.346681110E1
3.891003747E-1,-7.743347168E0,2.088120651E1,-3.748913574E1,4.360526929E1
3.990703747E-1,-9.115669250E0,2.106668854E1,-3.702958298E1,4.356708399E1
4.090403747E-1,-1.063677979E1,2.120546341E1,-3.677785110E1,4.376554689E1
4.190113749E-1,-1.209973907E1,2.151674652E1,-3.602210236E1,4.366882097E1
4.289813749E-1,-1.340950775E1,2.178698349E1,-3.529697037E1,4.359316076E1
4.389513750E-1,-1.456414795E1,2.199835777E1,-3.476348114E1,4.364105603E1
4.489213750E-1,-1.558113861E1,2.210186386E1,-3.412857056E1,4.354335305E1
4.588913750E-1,-1.604107666E1,2.226674652E1,-3.398999023E1,4.368573654E1
4.688613750E-1,-1.642317200E1,2.241377449E1,-3.343064499E1,4.347074752E1
4.788323748E-1,-1.660930634E1,2.256584930E1,-3.293912506E1,4.324433572E1
4.888023748E-1,-1.643607330E1,2.282212448E1,-3.319758606E1,4.350946554E1
4.987723748E-1,-1.605025482E1,2.318999100E1,-3.345041275E1,4.375290248E1
5.087423748E-1,-1.513140869E1,2.347513008E1,-3.341116714E1,4.354707052E1
5.187123748E-1,-1.408009338E1,2.345748329E1,-3.382585144E1,4.350506612E1
5.286823749E-1,-1.277053833E1,2.367121696E1,-3.403946686E1,4.338315878E1
5.386523749E-1,-1.107045746E1,2.367375565E1,-3.474747467E1,4.347860084E1
5.486233747E-1,-9.265289307E0,2.370397377E1,-3.519446564E1,4.343241151E1
5.585933747E-1,-7.154579163E0,2.361515999E1,-3.567041016E1,4.337328608E1
5.685633747E-1,-5.087295532E0,2.332021332E1,-3.637856293E1,4.350991572E1
5.785333747E-1,-3.311477661E0,2.285289955E1,-3.659097290E1,4.326800435E1
5.885033747E-1,-1.657089233E0,2.224964905E1,-3.722208023E1,4.339672896E1
5.984733747E-1,-5.667266846E-1,2.143794060E1,-3.730945969E1,4.303373396E1
6.084443750E-1,-5.667266846E-1,2.143794060E1,-3.730945969E1,4.303373396E1
6.184143750E-1,4.869079590E-2,2.058699036E1,-3.778768921E1,4.303180218E1
6.283843750E-1,3.765335083E-1,1.995680618E1,-3.859238434E1,4.344868260E1
6.383543750E-1,2.639923096E-1,1.960665512E1,-3.886483002E1,4.353120294E1
6.483256249E-1,-3.699798584E-1,1.954148483E1,-3.874765015E1,4.339800579E1
6.582956249E-1,-1.095428467E0,1.985046959E1,-3.853367615E1,4.335995046E1
6.682656249E-1,-1.920104980E0,2.001281357E1,-3.828813171E1,4.324558405E1
6.782366247E-1,-2.708793640E0,2.045830345E1,-3.795399475E1,4.320168354E1
6.882066247E-1,-3.651168823E0,2.084732819E1,-3.789733124E1,4.340679487E1
6.981766247E-1,-4.473358154E0,2.119495773E1,-3.758584595E1,4.338125150E1
7.081466247E-1,-5.250732422E0,2.144545555E1,-3.728636551E1,4.333302214E1
7.181166247E-1,-6.147857666E0,2.164142036E1,-3.687085724E1,4.319267696E1
7.280866248E-1,-6.587394714E0,2.157844925E1,-3.675673676E1,4.312865565E1
7.380566248E-1,-7.203514099E0,2.161011887E1,-3.679739380E1,4.327743111E1
7.480276250E-1,-7.870674133E0,2.153444672E1,-3.684365845E1,4.339510427E1
7.579976250E-1,-8.622261047E0,2.157447433E1,-3.659566879E1,4.334794462E1
7.679676251E-1,-9.226318359E0,2.155586052E1,-3.658633804E1,4.345503659E1
7.779376251E-1,-9.896041870E0,2.139721298E1,-3.642292023E1,4.338665101E1
7.879076251E-1,-1.049709320E1,2.145947647E1,-3.604721069E1,4.324464701E1
7.978776246E-1,-1.107604218E1,2.136497879E1,-3.576654816E1,4.310901293E1
8.078486249E-1,-1.125359344E1,2.151826477E1,-3.577680206E1,4.323954960E1
8.178186249E-1,-1.144309235E1,2.167010117E1,-3.567844391E1,4.328381923E1
8.277886249E-1,-1.143145752E1,2.195617294E1,-3.538565826E1,4.318444815E1
8.377586249E-1,-1.102203369E1,2.231663895E1,-3.532607269E1,4.321399093E1
8.477286249E-1,-1.056813812E1,2.269048119E1,-3.520597839E1,4.319727300E1
8.576986250E-1,-9.923065186E0,2.316431427E1,-3.511505890E1,4.322175424E1
8.676686250E-1,-9.055023193E0,2.349809265E1,-3.527698135E1,4.334304116E1
8.776396248E-1,-7.882881165E0,2.375272369E1,-3.519213867E1,4.318354227E1
8.876096248E-1,-6.347511292E0,2.399764633E1,-3.526775360E1,4.312762888E1
8.975796248E-1,-4.854064941E0,2.395476532E1,-3.535369110E1,4.297995117E1
9.075496248E-1,-3.139831543E0,2.406057358E1,-3.573459625E1,4.319410969E1
9.175196248E-1,-1.288078308E0,2.389832687E1,-3.578105927E1,4.304733877E1
9.274896248E-1,3.079605103E-1,2.378492928E1,-3.583993530E1,4.301533056E1
9.374606251E-1,1.990463257E0,2.385787392E1,-3.585800934E1,4.311562275E1
9.474306251E-1,3.204261780E0,2.394904327E1,-3.572782135E1,4.313120895E1
9.574006246E-1,4.312782288E0,2.376487923E1,-3.567436981E1,4.308166939E1
9.673706247E-1,5.096755981E0,2.339952469E1,-3.580274963E1,4.307379201E1
9.773406247E-1,5.444458008E0,2.308889008E1,-3.585347748E1,4.299082245E1
9.873106247E-1,5.765556335E0,2.284356308E1,-3.610308838E1,4.311035844E1
9.972806247E-1,5.765556335E0,2.284356308E1,-3.610308838E1,4.311035844E1
1.007251625E0,5.597152710E0,2.269746017E1,-3.581266022E1,4.276738768E1
1.017221625E0,5.302406311E0,2.274538994E1,-3.578874969E1,4.273526507E1
1.027191625E0,5.076148987E0,2.311682510E1,-3.584041977E1,4.294986124E1
1.037161625E0,4.293479919E0,2.356441689E1,-3.581872177E1,4.308940174E1
1.047131625E0,3.504287720E0,2.411029243E1,-3.558856964E1,4.312925368E1
1.057101625E0,2.647552490E0,2.455750275E1,-3.512653351E1,4.294128354E1
1.067071625E0,1.502067566E0,2.494944191E1,-3.487223816E1,4.290459011E1
1.077042625E0,3.356246948E-1,2.548400688E1,-3.476509857E1,4.310637226E1
1.087012625E0,-8.894653320E-1,2.580673409E1,-3.460660553E1,4.317865004E1
1.096982625E0,-1.981651306E0,2.610685158E1,-3.422117615E1,4.308809044E1
1.106952625E0,-3.281967163E0,2.656150055E1,-3.399565125E1,4.326648730E1
1.116922625E0,-4.553894043E0,2.685611153E1,-3.347512054E1,4.315752973E1
1.126892625E0,-5.550613403E0,2.696944618E1,-3.337191772E1,4.326482670E1
1.136863625E0,-6.810523987E0,2.714603233E1,-3.277362061E1,4.309756972E1
1.146833625E0,-7.909461975E0,2.727320480E1,-3.243743896E1,4.311119038E1
1.156803625E0,-8.914794922E0,2.772681618E1,-3.193027115E1,4.321796061E1
1.166773625E0,-9.858757019E0,2.813273621E1,-3.128558159E1,4.321381205E1
1.176743625E0,-1.065415955E1,2.871835136E1,-3.048649979E1,4.321668069E1
1.186713625E0,-1.139399719E1,2.917591286E1,-2.961728859E1,4.310731778E1
1.196684625E0,-1.190476227E1,2.984317398E1,-2.881301308E1,4.315701705E1
1.206654625E0,-1.195490265E1,3.067559814E1,-2.793357086E1,4.317634074E1
1.216624625E0,-1.167375946E1,3.177827072E1,-2.663935471E1,4.307888542E1
1.226594625E0,-1.079101562E1,3.268108368E1,-2.567053223E1,4.293571326E1
1.236564625E0,-9.702796936E0,3.385609436E1,-2.468404388E1,4.300792271E1
1.246534625E0,-8.240577698E0,3.481196976E1,-2.376654816E1,4.294914633E1
1.256504625E0,-6.510841370E0,3.551493073E1,-2.321206665E1,4.292436835E1
1.266475625E0,-4.518173218E0,3.602932358E1,-2.262805176E1,4.278498303E1
1.276445625E0,-2.518989563E0,3.630347443E1,-2.251412201E1,4.279221020E1
1.286415625E0,-2.533874512E-1,3.621029663E1,-2.267677689E1,4.272570652E1
1.296385625E0,1.621894836E0,3.590899658E1,-2.302306366E1,4.268662599E1
1.306355625E0,3.816650391E0,3.545884705E1,-2.330684280E1,4.260405586E1
1.316325625E0,5.436820984E0,3.514699554E1,-2.362337112E1,4.269583096E1
1.326296625E0,6.947372437E0,3.476269531E1,-2.355389786E1,4.256168551E1
1.336266625E0,8.422637939E0,3.436436462E1,-2.369369507E1,4.258217434E1
1.346236625E0,9.388908386E0,3.409910202E1,-2.363300323E1,4.253726838E1
1.356206625E0,1.019821930E1,3.402033234E1,-2.355871582E1,4.261924190E1
1.366176625E0,1.078509521E1,3.406103516E1,-2.317268372E1,4.258457074E1
1.376146625E0,1.122240448E1,3.397435760E1,-2.297309494E1,4.252014144E1
1.386116625E0,1.122240448E1,3.397435760E1,-2.297309494E1,4.252014144E1
1.396087625E0,1.169289398E1,3.407962036E1,-2.258262253E1,4.252198412E1
1.406057625E0,1.225442505E1,3.410833740E1,-2.203993607E1,4.241825545E1
1.416027625E0,1.270843506E1,3.418230820E1,-2.164778900E1,4.240944805E1
1.425997625E0,1.329199982E1,3.415419769E1,-2.132625198E1,4.240277707E1
1.435967625E0,1.338266754E1,3.423933411E1,-2.105781555E1,4.236578084E1
1.445937625E0,1.338031006E1,3.419915771E1,-2.117319870E1,4.239008645E1
1.455908625E0,1.338698578E1,3.407871628E1,-2.142285156E1,4.242061834E1
1.465878625E0,1.339363098E1,3.381098938E1,-2.195813751E1,4.248213927E1
1.475848625E0,1.347637939E1,3.357511139E1,-2.256217957E1,4.263745833E1
1.485818625E0,1.330722809E1,3.315940857E1,-2.312235641E1,4.255904207E1
1.495788625E0,1.312944794E1,3.311074066E1,-2.346687698E1,4.265440031E1
1.505758625E0,1.302740479E1,3.307225037E1,-2.355114746E1,4.263969473E1
1.515728625E0,1.277783966E1,3.313279724E1,-2.357794571E1,4.262598929E1
1.525699625E0,1.278919220E1,3.322819519E1,-2.369366455E1,4.276758273E1
1.535669625E0,1.249040222E1,3.327447510E1,-2.370081329E1,4.271919231E1
1.545639625E0,1.215109253E1,3.345127487E1,-2.377561569E1,4.280089651E1
1.555609625E0,1.210030365E1,3.356738281E1,-2.381026459E1,4.289656440E1
1.565579625E0,1.174304199E1,3.354724884E1,-2.391699600E1,4.284086411E1
1.575549625E0,1.159600067E1,3.361932755E1,-2.421318817E1,4.302330645E1
1.585519625E0,1.142684937E1,3.347571945E1,-2.451437759E1,4.303662845E1
1.595490625E0,1.106748199E1,3.327873993E1,-2.472588348E1,4.291075626E1
1.605460625E0,1.073824310E1,3.311717224E1,-2.517754745E1,4.296470479E1
1.615430625E0,1.050874329E1,3.266746140E1,-2.584432983E1,4.295958687E1
1.625400625E0,1.054818726E1,3.243904114E1,-2.643500519E1,4.315512882E1
1.635370625E0,1.039884186E1,3.219313049E1,-2.716081429E1,4.338482909E1
1.645339875E0,1.021616364E1,3.172475243E1,-2.749880409E1,4.320895905E1
1.655310875E0,1.022997284E1,3.116066933E1,-2.814931488E1,4.322063842E1
1.665280875E0,1.013981628E1,3.081329918E1,-2.835906029E1,4.308725544E1
1.675250875E0,1.030862427E1,3.059941292E1,-2.857561874E1,4.311795208E1
1.685220875E0,1.015763855E1,3.048301888E1,-2.900169373E1,4.328383416E1
1.695190875E0,9.853492737E0,3.035342789E1,-2.941963387E1,4.340434034E1
1.705160875E0,9.536659241E0,3.017423439E1,-2.952511406E1,4.328007221E1
1.715131875E0,9.092826843E0,3.005216026E1,-3.024278641E1,4.359401296E1
1.725101875E0,8.805038452E0,2.981350517E1,-3.028304100E1,4.339857561E1
1.735071875E0,8.424697876E0,2.968522644E1,-3.057127380E1,4.343720738E1
1.745041875E0,8.118194580E0,2.921075821E1,-3.104812813E1,4.339538845E1
1.755011875E0,8.076011658E0,2.898159027E1,-3.136591339E1,4.346234073E1
1.764981875E0,8.160797119E0,2.872255325E1,-3.139091682E1,4.332405030E1
1.774951875E0,8.160797119E0,2.872255325E1,-3.139091682E1,4.332405030E1
1.784922875E0,8.441963196E0,2.860432434E1,-3.162480164E1,4.346955477E1
1.794892875E0,9.055648804E0,2.830415154E1,-3.186838150E1,4.357434462E1
1.804862875E0,9.508178711E0,2.820357895E1,-3.154517746E1,4.336986914E1
1.814832875E0,1.007626343E1,2.811680412E1,-3.146098518E1,4.338063332E1
1.824802875E0,1.061104584E1,2.781323814E1,-3.153204727E1,4.336404634E1
1.834772875E0,1.100743866E1,2.750600815E1,-3.147097969E1,4.322229463E1
1.844743875E0,1.141216278E1,2.724992752E1,-3.173178291E1,4.335553086E1
1.854713875E0,1.153764343E1,2.690151405E1,-3.217909622E1,4.350060813E1
1.864683875E0,1.127259827E1,2.633723259E1,-3.263331604E1,4.342412472E1
1.874653875E0,1.094502258E1,2.567649460E1,-3.324968719E1,4.341218254E1
1.884623875E0,1.065803528E1,2.527557945E1,-3.375347900E1,4.349420625E1
1.894593875E0,1.022489166E1,2.476488686E1,-3.421375275E1,4.345605720E1
1.904563875E0,1.004264832E1,2.442016983E1,-3.445953369E1,4.341265878E1
1.914534875E0,9.606323242E0,2.436784172E1,-3.488727570E1,4.362562506E1
1.924504875E0,9.558181763E0,2.437980080E1,-3.467565155E1,4.345266777E1
1.934474875E0,9.314605713E0,2.426403618E1,-3.451076126E1,4.320298571E1
1.944444875E0,9.304473877E0,2.436416435E1,-3.471020508E1,4.341640330E1
1.954414875E0,9.355468750E0,2.435293770E1,-3.479393005E1,4.348802063E1
1.964384875E0,9.491653442E0,2.436170769E1,-3.456040192E1,4.333596275E1
1.974355875E0,9.613777161E0,2.439893723E1,-3.462347031E1,4.343405974E1
1.984325875E0,9.959663391E0,2.462374878E1,-3.453218079E1,4.356598913E1
